filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
batch_0.fast5	7ccebe10-c9e4-440c-a379-6b499cbef1b1	91f216faec432f6717a2618d5a951d151cf86098	0	63	2	11307.773904	20.759960	6252	TRUE	11307.913015	6211	20.620850	1424	9.646523	0.000000	76.103615	10.002190	76.103615	10.002190
batch_0.fast5	7756b1fe-dfe6-4436-8619-b0265c0270b1	91f216faec432f6717a2618d5a951d151cf86098	0	175	3	11560.383466	20.179947	6078	TRUE	11561.713811	5677	18.849602	1671	10.724593	0.000000	75.668739	12.756416	75.668739	12.756416
batch_0.fast5	2b0cb225-171e-495d-a4a9-64dfe523a394	91f216faec432f6717a2618d5a951d151cf86098	0	94	1	11380.387782	20.842961	6277	TRUE	11382.513944	5637	18.716799	1164	10.123042	0.000000	75.088905	11.886661	75.088905	11.886661
batch_0.fast5	2c16c127-7a55-4312-8d53-8f5561382e43	91f216faec432f6717a2618d5a951d151cf86098	0	365	3	11536.561089	6.343293	1910	TRUE	11538.435259	1346	4.469124	404	7.375206	0.000000	70.740128	12.611457	70.740128	12.611457
batch_0.fast5	2f704169-53ae-43c0-9321-1c4edd5f4233	91f216faec432f6717a2618d5a951d151cf86098	0	177	3	11613.322045	3.523572	1061	TRUE	11614.227424	788	2.618194	240	9.139021	0.000000	87.410439	14.206009	87.410439	14.206009
batch_0.fast5	5bdee3c5-4a4d-4a7f-9c7e-cd08e1d901db	91f216faec432f6717a2618d5a951d151cf86098	0	256	2	11443.272576	10.792497	3250	TRUE	11444.037849	3020	10.027224	997	9.125327	0.000000	73.059471	9.132434	73.059471	9.132434
batch_0.fast5	5cc706e9-76ff-4496-a917-3342050f98d7	91f216faec432f6717a2618d5a951d151cf86098	0	475	1	11591.495684	8.021580	2416	TRUE	11593.494688	1814	6.022576	338	11.813775	0.000000	85.381012	13.046334	85.381012	13.046334
batch_0.fast5	60b2cc38-cbe5-4952-97f6-2072c3f5689f	91f216faec432f6717a2618d5a951d151cf86098	0	403	3	11467.943891	6.787185	2044	TRUE	11469.440571	1593	5.290505	482	11.351358	0.000000	88.570114	11.596742	88.570114	11.596742
batch_0.fast5	60f2c7ca-12c2-4cac-ab2d-6df7ca46fa4f	91f216faec432f6717a2618d5a951d151cf86098	0	411	2	11547.203519	7.569721	2280	TRUE	11548.576693	1866	6.196547	519	11.443669	0.000000	89.149948	12.901375	89.149948	12.901375
batch_0.fast5	61c98942-ce81-4b0e-bb93-c5b7dd09f9e7	91f216faec432f6717a2618d5a951d151cf86098	0	427	3	11465.260956	9.839973	2963	TRUE	11467.640438	2247	7.460491	584	7.218109	0.000000	75.378822	12.321538	75.378822	12.321538
batch_0.fast5	648fce23-03b7-4164-ad9f-bac5785901d1	91f216faec432f6717a2618d5a951d151cf86098	0	48	3	11521.864542	16.478420	4963	TRUE	11523.538513	4459	14.804449	1412	8.948124	0.000000	65.956467	7.682841	65.956467	7.682841
batch_0.fast5	58e01297-9046-48c5-b745-be32c4cedad1	91f216faec432f6717a2618d5a951d151cf86098	0	158	3	11483.999336	8.077689	2433	TRUE	11485.201859	2070	6.875166	607	10.077773	0.000000	80.307434	12.176579	80.307434	12.176579
batch_0.fast5	7b9f277a-c742-4209-973a-75dfa681d44e	91f216faec432f6717a2618d5a951d151cf86098	0	187	2	11475.128154	12.179947	3668	TRUE	11477.513612	2950	9.794489	672	10.635777	0.000000	85.815887	14.206009	85.815887	14.206009
batch_0.fast5	7c942456-9ef2-4a8b-a899-e42a404c716e	91f216faec432f6717a2618d5a951d151cf86098	0	76	1	11549.908699	9.220784	2777	TRUE	11551.685259	2242	7.444223	539	10.199432	0.000000	83.206619	13.046334	83.206619	13.046334
batch_0.fast5	6c4be940-18df-46d2-a8c4-6dd9673dfa77	91f216faec432f6717a2618d5a951d151cf86098	0	32	4	11520.228088	14.418991	4343	TRUE	11520.370850	4300	14.276228	1079	9.817782	0.000000	74.364105	12.176579	74.364105	12.176579
batch_0.fast5	647d9105-1794-4f3e-869a-9ebfcb1e2201	91f216faec432f6717a2618d5a951d151cf86098	0	343	4	11463.946879	15.298473	4607	TRUE	11465.228420	4221	14.016932	1181	9.989880	0.000000	77.843132	12.321538	77.843132	12.321538
batch_0.fast5	62d27373-29d1-492c-9264-a69181afe23f	91f216faec432f6717a2618d5a951d151cf86098	0	454	1	11471.405710	12.532205	3774	TRUE	11473.698539	3084	10.239376	829	8.454541	0.000000	82.046944	12.031619	82.046944	12.031619
batch_0.fast5	3cfefd44-39be-472f-b250-97cbd42802a2	91f216faec432f6717a2618d5a951d151cf86098	0	102	2	11582.912019	12.172975	3666	TRUE	11584.513280	3184	10.571713	1017	10.147430	0.000000	77.408249	10.871945	77.408249	10.871945
batch_0.fast5	336b75cf-0b4e-4e04-ac32-5d5398183cd9	91f216faec432f6717a2618d5a951d151cf86098	0	266	3	11483.128154	25.902058	7801	TRUE	11485.041833	7225	23.988380	2136	10.584018	0.000000	80.597351	14.206009	80.597351	14.206009
batch_0.fast5	6eec38a5-61e1-4004-8675-2228c194be53	91f216faec432f6717a2618d5a951d151cf86098	0	310	3	11433.049137	17.647742	5315	TRUE	11435.270252	4646	15.426627	985	10.758605	0.000000	79.002800	12.756416	79.002800	12.756416
batch_0.fast5	77e7d249-55d3-4cd3-8df5-a5b71fd49546	91f216faec432f6717a2618d5a951d151cf86098	0	384	4	11620.967795	6.382138	1922	TRUE	11621.625498	1724	5.724436	462	11.754465	0.000000	88.135239	13.046334	88.135239	13.046334
batch_0.fast5	7ac14dab-7a52-4252-9a18-23508f4dfb9e	91f216faec432f6717a2618d5a951d151cf86098	0	442	2	11608.592629	8.566401	2580	TRUE	11610.100266	2126	7.058765	551	10.285973	0.000000	83.206619	14.350967	83.206619	14.350967
batch_0.fast5	676a5b06-a68d-482f-a88f-d9dac92e5edf	91f216faec432f6717a2618d5a951d151cf86098	0	284	1	11462.482404	10.429947	3141	TRUE	11464.818725	2437	8.093625	559	13.052067	0.000000	85.960846	13.191294	85.960846	13.191294
batch_0.fast5	4228235b-284c-40eb-ab70-43d4a971b9e3	91f216faec432f6717a2618d5a951d151cf86098	0	150	1	11456.168327	24.846946	7483	TRUE	11458.609894	6748	22.405378	1420	11.052885	0.000000	86.250763	14.206009	86.250763	14.206009
batch_0.fast5	6c67cc43-5971-45b7-9054-0fdd58e0dc0f	91f216faec432f6717a2618d5a951d151cf86098	0	72	2	11518.898738	8.579017	2584	TRUE	11519.061753	2534	8.416003	847	8.335055	0.000000	75.813698	8.262678	75.813698	8.262678
batch_0.fast5	621f5000-df73-47d4-a2ee-2bdaf7a4150c	91f216faec432f6717a2618d5a951d151cf86098	0	97	3	11430.115870	18.606242	5604	TRUE	11433.004980	4734	15.717131	877	10.852048	0.000000	80.162476	14.206009	80.162476	14.206009
batch_0.fast5	67cb0e09-f52f-4b63-b650-5a3013f26130	91f216faec432f6717a2618d5a951d151cf86098	0	432	2	11531.941899	10.998340	3312	TRUE	11532.548473	3130	10.391766	790	10.231384	0.000000	81.032234	15.075764	81.032234	15.075764
