,ac4C
388,LOC_Os04g41040.1.MSUv7.0
389,LOC_Os01g56680.1.MSUv7.0
390,LOC_Os02g09140.1.MSUv7.0
391,LOC_Os03g19200.1.MSUv7.0
392,LOC_Os08g39590.1.MSUv7.0
393,LOC_Os01g09000.1.MSUv7.0
394,LOC_Os11g13890.6.MSUv7.0
395,LOC_Os03g18500.2.MSUv7.0
396,LOC_Os05g06310.1.MSUv7.0
397,LOC_Os03g02420.1.MSUv7.0
398,LOC_Os07g01990.2.MSUv7.0
399,LOC_Os05g32270.2.MSUv7.0
400,LOC_Os05g23940.1.MSUv7.0
401,LOC_Os01g19020.1.MSUv7.0
402,LOC_Os05g34540.1.MSUv7.0
403,LOC_Os04g17680.4.MSUv7.0
404,LOC_Os07g14280.1.MSUv7.0
405,LOC_Os02g18550.1.MSUv7.0
406,LOC_Os05g04510.1.MSUv7.0
407,LOC_Os05g04510.2.MSUv7.0
408,LOC_Os09g30412.1.MSUv7.0
409,LOC_Os01g52490.1.MSUv7.0
410,LOC_Os07g49150.1.MSUv7.0
411,LOC_Os01g23620.1.MSUv7.0
412,LOC_Os02g02510.1.MSUv7.0
413,LOC_Os10g14011.1.MSUv7.0
414,LOC_Os02g30624.2.MSUv7.0
415,LOC_Os01g50910.2.MSUv7.0
416,LOC_Os03g28330.3.MSUv7.0
417,LOC_Os03g12140.1.MSUv7.0
418,LOC_Os03g49350.1.MSUv7.0
419,LOC_Os03g04960.5.MSUv7.0
420,LOC_Os02g12760.1.MSUv7.0
421,LOC_Os08g42920.1.MSUv7.0
422,LOC_Os03g30430.1.MSUv7.0
423,LOC_Os03g27010.1.MSUv7.0
424,LOC_Os04g42860.1.MSUv7.0
425,LOC_Os02g10290.1.MSUv7.0
426,LOC_Os02g26700.1.MSUv7.0
427,LOC_Os01g68790.1.MSUv7.0
428,LOC_Os11g44810.1.MSUv7.0
429,LOC_Os05g37830.2.MSUv7.0
430,LOC_Os04g53180.1.MSUv7.0
431,LOC_Os07g37560.1.MSUv7.0
432,LOC_Os12g38150.1.MSUv7.0
433,LOC_Os06g11490.1.MSUv7.0
434,LOC_Os03g48930.1.MSUv7.0
435,LOC_Os07g08460.1.MSUv7.0
436,LOC_Os04g51280.1.MSUv7.0
437,LOC_Os06g36700.1.MSUv7.0
438,LOC_Os03g08280.2.MSUv7.0
439,LOC_Os07g33240.1.MSUv7.0
440,LOC_Os03g31679.1.MSUv7.0
441,LOC_Os09g37910.1.MSUv7.0
442,LOC_Os03g02460.2.MSUv7.0
443,LOC_Os12g08740.1.MSUv7.0
444,LOC_Os02g42700.1.MSUv7.0
445,LOC_Os06g34120.1.MSUv7.0
446,LOC_Os01g16890.1.MSUv7.0
447,LOC_Os02g06754.1.MSUv7.0
448,LOC_Os08g05660.1.MSUv7.0
449,LOC_Os03g15480.1.MSUv7.0
450,LOC_Os08g35110.1.MSUv7.0
451,LOC_Os12g36830.1.MSUv7.0
452,LOC_Os03g08280.1.MSUv7.0
453,LOC_Os06g11190.1.MSUv7.0
454,LOC_Os07g44650.1.MSUv7.0
455,LOC_Os01g73470.1.MSUv7.0
456,LOC_Os10g18340.1.MSUv7.0
457,LOC_Os05g14180.1.MSUv7.0
458,LOC_Os03g53800.2.MSUv7.0
459,LOC_Os08g13920.1.MSUv7.0
460,LOC_Os05g05950.1.MSUv7.0
461,LOC_Os03g17490.2.MSUv7.0
462,LOC_Os11g14220.1.MSUv7.0
463,LOC_Os02g09050.1.MSUv7.0
464,LOC_Os07g31300.1.MSUv7.0
465,LOC_Os02g47160.1.MSUv7.0
466,LOC_Os01g07760.2.MSUv7.0
467,LOC_Os03g59740.2.MSUv7.0
468,LOC_Os11g04560.1.MSUv7.0
469,LOC_Os08g38900.1.MSUv7.0
470,LOC_Os05g48850.1.MSUv7.0
471,LOC_Os03g49600.3.MSUv7.0
472,LOC_Os03g36080.1.MSUv7.0
473,LOC_Os08g13690.1.MSUv7.0
474,LOC_Os08g44340.1.MSUv7.0
475,LOC_Os06g44080.1.MSUv7.0
476,LOC_Os07g47510.2.MSUv7.0
477,LOC_Os05g07690.1.MSUv7.0
478,LOC_Os04g31070.1.MSUv7.0
479,LOC_Os05g07890.1.MSUv7.0
480,LOC_Os01g53880.4.MSUv7.0
481,LOC_Os05g15850.1.MSUv7.0
482,LOC_Os08g03579.2.MSUv7.0
483,LOC_Os02g47420.3.MSUv7.0
484,LOC_Os12g41220.1.MSUv7.0
485,LOC_Os03g53150.1.MSUv7.0
486,LOC_Os12g28270.2.MSUv7.0
487,LOC_Os01g08560.2.MSUv7.0
488,LOC_Os10g33800.2.MSUv7.0
489,LOC_Os05g48900.1.MSUv7.0
490,ChrSy.fgenesh.mRNA.37.MSUv7.0
491,LOC_Os02g16490.1.MSUv7.0
492,LOC_Os07g38960.1.MSUv7.0
493,LOC_Os10g22590.1.MSUv7.0
494,LOC_Os08g08980.1.MSUv7.0
495,LOC_Os02g48964.1.MSUv7.0
496,LOC_Os09g31400.1.MSUv7.0
497,LOC_Os03g23010.1.MSUv7.0
498,LOC_Os06g08080.1.MSUv7.0
499,LOC_Os03g05290.1.MSUv7.0
500,LOC_Os06g23440.1.MSUv7.0
501,LOC_Os03g22770.1.MSUv7.0
502,LOC_Os06g50000.1.MSUv7.0
503,LOC_Os02g48660.1.MSUv7.0
504,LOC_Os03g27310.2.MSUv7.0
505,LOC_Os11g39990.1.MSUv7.0
506,LOC_Os11g47760.6.MSUv7.0
507,LOC_Os07g36940.2.MSUv7.0
508,LOC_Os10g35100.1.MSUv7.0
509,LOC_Os05g03140.1.MSUv7.0
510,LOC_Os02g55600.1.MSUv7.0
511,LOC_Os07g04930.1.MSUv7.0
512,LOC_Os03g18180.1.MSUv7.0
513,LOC_Os05g04850.1.MSUv7.0
514,LOC_Os03g43860.1.MSUv7.0
515,LOC_Os01g27449.1.MSUv7.0
516,LOC_Os02g57500.1.MSUv7.0
517,LOC_Os05g49030.1.MSUv7.0
518,LOC_Os03g12290.1.MSUv7.0
519,LOC_Os03g37864.1.MSUv7.0
520,LOC_Os02g30850.1.MSUv7.0
521,LOC_Os01g62260.1.MSUv7.0
522,LOC_Os04g52260.1.MSUv7.0
523,LOC_Os09g15480.1.MSUv7.0
524,LOC_Os06g02380.1.MSUv7.0
525,LOC_Os07g40860.1.MSUv7.0
526,LOC_Os05g46280.1.MSUv7.0
527,LOC_Os06g36770.1.MSUv7.0
528,LOC_Os10g31680.1.MSUv7.0
529,LOC_Os03g32170.1.MSUv7.0
530,LOC_Os03g50810.1.MSUv7.0
531,LOC_Os07g26630.1.MSUv7.0
532,LOC_Os12g12360.2.MSUv7.0
533,LOC_Os04g43230.2.MSUv7.0
534,LOC_Os02g57280.1.MSUv7.0
535,LOC_Os04g47690.2.MSUv7.0
536,LOC_Os07g48244.1.MSUv7.0
537,LOC_Os01g24764.1.MSUv7.0
538,LOC_Os04g53620.2.MSUv7.0
539,LOC_Os01g64640.1.MSUv7.0
540,LOC_Os12g42884.1.MSUv7.0
